ID	Domain	Phylum	Class	Order	Family	Genus
OTU3745	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU376	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU3984	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU4009	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU4074	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU4104	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU4116	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU4126	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU4288	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU4372	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU4462	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU4479	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU4509	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU4628	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU4816	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU4993	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU5124	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU5970	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU6003	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU6023	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU6058	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU6079	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU6115	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU6176	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU6200	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU6270	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU6301	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU6493	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU6553	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU6655	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU6908	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU6939	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU7006	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU7009	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU7267	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU7276	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU7315	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU7659	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU7683	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU7754	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU7784	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU7960	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU7969	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU8212	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU8482	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU8594	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU8611	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU8658	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU8661	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU8713	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU8945	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU9283	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU9401	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU9456	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU9484	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU9551	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU9669	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU9756	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU9888	Archaea	Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	unclassified_Pacearchaeota	Pacearchaeota Incertae Sedis AR13
OTU1148	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus
OTU2263	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus
OTU3468	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus
OTU4016	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus
OTU4161	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus
OTU4373	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus
OTU5265	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus
OTU7498	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus
OTU9284	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus
OTU1	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU10	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU10223	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU10311	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU10541	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU10542	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU10654	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU10737	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU10874	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU10875	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU11	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU11080	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
OTU11217	Archaea	Thaumarchaeota	unclassified_Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera
